source,pdf,pages,chars,tables,avg_table_rows,chars_per_page,tables_per_page,repeat_ratio,flags
alerts,12738_Not_Of_Standard_of_Quality_NSQ_ALERT_FOR_THE_MONTH_OF_April-2025.pdf,7,15346,7,9.14,2192.3,1.0,0.352,REPEATED_LINES
alerts,2257_Drug_Alerts_for_the_month_of_January_2014.pdf,9,36042,8,4.62,4004.7,0.89,0.494,REPEATED_LINES
alerts,3251_System_of_preliminary_scrutiny_by_C.D.S.C.O_at_the_time_of_receipt_of_application_for_approval_of_Fixed_Dose_Combination.pdf,23,43731,15,28.2,1901.3,0.65,0.304,REPEATED_LINES
alerts,3253_Drugs_banned_in_the_Country.pdf,28,43760,27,60.7,1562.9,0.96,0.461,REPEATED_LINES
banned_drugs,banneddrugs.pdf,28,43760,27,60.7,1562.9,0.96,0.461,REPEATED_LINES
fdc,11024_LIST_OF_DRUGS_PROHIBITED_FOR_MANUFACTURE_AND_SALE_THROUGH_GAZETTE_NOTIFICATIONS_UNDER_SECTION_26A_OF_DRUGS_COSMETICS_ACT.pdf,34,53476,33,58.88,1572.8,0.97,0.415,REPEATED_LINES
fdc,14519_2026.06.11_S.O._3068E_to_S.O._3083E__Prohibition_of_16_FDCs.pdf,26,84586,0,0.0,3253.3,0.0,0.656,"TABLE_DROUGHT,REPEATED_LINES"
fdc,3170_2019.01.11_S.O._180E_to_S.O.259E_Prohibition_of_certain_FDCs_appeared_in_the_list_of_294_FDCs_under_Section_26A.pdf,130,494777,0,0.0,3806.0,0.0,0.579,"TABLE_DROUGHT,REPEATED_LINES"
fdc,3251_System_of_preliminary_scrutiny_by_C.D.S.C.O_at_the_time_of_receipt_of_application_for_approval_of_Fixed_Dose_Combination.pdf,23,43731,15,28.2,1901.3,0.65,0.304,REPEATED_LINES
gazette,10569_2023.06.02_DR_S.O._2394E_to_2407E_Banning_of_14_FDCs.pdf,20,82759,0,0.0,4137.9,0.0,0.637,"TABLE_DROUGHT,REPEATED_LINES"
gazette,11871_2024.08.12__DR_S.O._3285E_to_3440E__Prohibition_of_156_FDCs.pdf,158,543610,0,0.0,3440.6,0.0,0.769,"TABLE_DROUGHT,REPEATED_LINES"
gazette,14397_2026.06.11_S.O._3068E_to_S.O._3083E__Prohibition_of_16_FDCs.pdf,26,84586,0,0.0,3253.3,0.0,0.656,"TABLE_DROUGHT,REPEATED_LINES"
gazette,14519_2026.06.11_S.O._3068E_to_S.O._3083E__Prohibition_of_16_FDCs.pdf,26,84586,0,0.0,3253.3,0.0,0.656,"TABLE_DROUGHT,REPEATED_LINES"
gazette,1951_2018.09.07_S.O._4379E_to_S.O.4712_E_Prohibition_and_Restriction_of_FDC_drugs_Section_26A.pdf,537,1849249,1,4.0,3443.7,0.0,0.742,REPEATED_LINES
gazette,3170_2019.01.11_S.O._180E_to_S.O.259E_Prohibition_of_certain_FDCs_appeared_in_the_list_of_294_FDCs_under_Section_26A.pdf,130,494777,0,0.0,3806.0,0.0,0.579,"TABLE_DROUGHT,REPEATED_LINES"
public_notices,1721_Revised_List_of_Oxytocin_Manufacturer.pdf,5,10852,0,0.0,2170.4,0.0,0.025,TABLE_DROUGHT
