source,pdf,pages,chars,tables,avg_table_rows,chars_per_page,tables_per_page,repeat_ratio,flags,txt_rel,tbl_rel
alerts,10069_Drug_Alert_list_for_month_of_March_2023.pdf,11,14678,11,5.73,1334.4,1.0,0.109,,alerts\10069_Drug_Alert_list_for_month_of_March_2023.txt,alerts\10069_Drug_Alert_list_for_month_of_March_2023.tables.json
alerts,10154_Drug_Alert_list_for_month_of_April_2023.pdf,7,10594,8,5.88,1513.4,1.14,0.056,,alerts\10154_Drug_Alert_list_for_month_of_April_2023.txt,alerts\10154_Drug_Alert_list_for_month_of_April_2023.tables.json
alerts,10246_Drug_Alert_list_for_month_of_February_2023_Revised.pdf,1,911,1,3.0,911.0,1.0,0.0,,alerts\10246_Drug_Alert_list_for_month_of_February_2023_Revised.txt,alerts\10246_Drug_Alert_list_for_month_of_February_2023_Revised.tables.json
alerts,10248_Drug_Alert_list_for_month_of_May_2023.pdf,7,9055,7,5.14,1293.6,1.0,0.066,,alerts\10248_Drug_Alert_list_for_month_of_May_2023.txt,alerts\10248_Drug_Alert_list_for_month_of_May_2023.tables.json
alerts,10359_Drug_Alert_list_for_month_of_June_2023.pdf,9,12190,8,5.88,1354.4,0.89,0.113,,alerts\10359_Drug_Alert_list_for_month_of_June_2023.txt,alerts\10359_Drug_Alert_list_for_month_of_June_2023.tables.json
alerts,10425_Drug_Alert_list_for_month_of_July_2023.pdf,7,14382,8,7.88,2054.6,1.14,0.106,,alerts\10425_Drug_Alert_list_for_month_of_July_2023.txt,alerts\10425_Drug_Alert_list_for_month_of_July_2023.tables.json
alerts,10426_June_Revised_Drugs_Alert_List_2023.pdf,1,1412,1,3.0,1412.0,1.0,0.267,,alerts\10426_June_Revised_Drugs_Alert_List_2023.txt,alerts\10426_June_Revised_Drugs_Alert_List_2023.tables.json
alerts,10515_Drug_Alert_list_for_month_of_August_2023.pdf,9,13284,10,5.6,1476.0,1.11,0.004,,alerts\10515_Drug_Alert_list_for_month_of_August_2023.txt,alerts\10515_Drug_Alert_list_for_month_of_August_2023.tables.json
alerts,10516_July_Revised_Drugs_Alert_List_2023.pdf,1,1572,1,3.0,1572.0,1.0,0.0,,alerts\10516_July_Revised_Drugs_Alert_List_2023.txt,alerts\10516_July_Revised_Drugs_Alert_List_2023.tables.json
alerts,10583_Drug_Alert_for_the_Month_of_September_2023.pdf,13,15583,12,5.0,1198.7,0.92,0.061,,alerts\10583_Drug_Alert_for_the_Month_of_September_2023.txt,alerts\10583_Drug_Alert_for_the_Month_of_September_2023.tables.json
alerts,10585_Drug_Alert_for_the_Month_of_March_2023_Revised.pdf,1,902,0,0.0,902.0,0.0,0.0,,alerts\10585_Drug_Alert_for_the_Month_of_March_2023_Revised.txt,alerts\10585_Drug_Alert_for_the_Month_of_March_2023_Revised.tables.json
alerts,10586_Drug_Alert_for_the_Month_of_February_2023_Revised.pdf,1,1005,0,0.0,1005.0,0.0,0.0,,alerts\10586_Drug_Alert_for_the_Month_of_February_2023_Revised.txt,alerts\10586_Drug_Alert_for_the_Month_of_February_2023_Revised.tables.json
alerts,10666_Drug_Alert_for_the_Month_of_October_2023.pdf,9,15391,9,6.67,1710.1,1.0,0.016,,alerts\10666_Drug_Alert_for_the_Month_of_October_2023.txt,alerts\10666_Drug_Alert_for_the_Month_of_October_2023.tables.json
alerts,10784_Drug_Alert_for_the_Month_of_November_2023.pdf,14,20460,13,6.0,1461.4,0.93,0.107,,alerts\10784_Drug_Alert_for_the_Month_of_November_2023.txt,alerts\10784_Drug_Alert_for_the_Month_of_November_2023.tables.json
alerts,10785_Drug_Alert_for_the_Month_of_May_â_2022_Revised.pdf,1,930,0,0.0,930.0,0.0,0.0,,alerts\10785_Drug_Alert_for_the_Month_of_May_â_2022_Revised.txt,alerts\10785_Drug_Alert_for_the_Month_of_May_â_2022_Revised.tables.json
alerts,10851_Drug_Alert_for_the_Month_of_December_2023.pdf,12,20673,13,7.0,1722.8,1.08,0.05,,alerts\10851_Drug_Alert_for_the_Month_of_December_2023.txt,alerts\10851_Drug_Alert_for_the_Month_of_December_2023.tables.json
alerts,10939_Drug_Alert_for_the_Month_of_January_2024.pdf,8,12708,8,6.75,1588.5,1.0,0.027,,alerts\10939_Drug_Alert_for_the_Month_of_January_2024.txt,alerts\10939_Drug_Alert_for_the_Month_of_January_2024.tables.json
alerts,10940_Drug_Alert_for_the_Month_of_Revised_Dec_2023.pdf,1,920,0,0.0,920.0,0.0,0.0,,alerts\10940_Drug_Alert_for_the_Month_of_Revised_Dec_2023.txt,alerts\10940_Drug_Alert_for_the_Month_of_Revised_Dec_2023.tables.json
alerts,10941_Drug_Alert_for_the_Month_of_Revised_March_2023.pdf,1,918,0,0.0,918.0,0.0,0.0,,alerts\10941_Drug_Alert_for_the_Month_of_Revised_March_2023.txt,alerts\10941_Drug_Alert_for_the_Month_of_Revised_March_2023.tables.json
alerts,11013_Drug_Alert_for_the_Month_of_February_2024.pdf,12,17457,12,7.42,1454.8,1.0,0.04,,alerts\11013_Drug_Alert_for_the_Month_of_February_2024.txt,alerts\11013_Drug_Alert_for_the_Month_of_February_2024.tables.json
