"source","filename","pages"
"alerts","10354_Alert_on_Pholcodine_containing_cough_and_cold_remedies.pdf","1"
"alerts","10417_Alert_on_Suspected_Faisified_Versions_of_Glucagon-Like_Peptide_1_Receptor_Agonist_GLP_1_RA_Products.pdf","1"
"alerts","10494_Voluntary_Recall_of_Digene_Gel_manufactured_by_Ms_Abbott_India_Limited_L-1819_Verna_Industrial_Estate_Salcette_Goa-40372.pdf","1"
"alerts","10504_Alert_on_falsified_versions_of_Adcetris_Injection_Brentuximab_Vedotin_Manufactured_by_Ms_Takeda_Pharmaceuticals_Company_.pdf","1"
"alerts","13174_Alert_on_theft_of_multiple_drug_products_of_Ms._Novo_Nordisk_during_transit.pdf","2"
"alerts","13245_Availability_of_Not_Standard_Quality_NSQ_Alert_on_New_Link_in_CDSCO_Website.pdf","1"
"alerts","14567_Circular_Regarding_Approval_of_Safety_and_Efficacy_Marketed_in_the_Country_of_FDC_Without_Approval_from_DCGI.pdf","1"
"alerts","1457_Sub_Standard_Quality_of_Human_Albumin_IPEP_Albiomin_Solution_for_infusion.pdf","1"
"alerts","1458_NSQ_Vi-Conjugate_Typhoid_Vaccine_Batch_No.TC010915_and_Batch_No._TC010417_of_Ms_Bio_Med_Pvt_Ltd_dated_14-03-2018.pdf","1"
"alerts","1459_Oxytocin_Drug_Alert.pdf","1"
"alerts","177_IVD_Diagnostic_Kit_Alert_for_Comipack_ABD.pdf","1"
"alerts","178_In-VitroDdiagnostic_alert_for_product_BBLTM_MGITTM_Mycobacteria_Growth_Indicator_Tube.pdf","2"
"alerts","3144_Medical_Devices_alert_13.04.2017.pdf","2"
"alerts","3241_Updated_Package_Insert_PI_for_empagliflozin_Tablets_10mg_and_25mg_based_on_company_Core_Data_Sheet_CCDS.pdf","1"
"alerts","3260_IVD_Diagnostic_Kit_Alert_for_Mediclone_D.pdf","2"
"alerts","3265_IN-VITRO_DIAGNOSTIC_ALERT_FOR_PRODUCT_BBLTM_MGITTM_Mycobacteria_Growth_Indicator_Tube.pdf","2"
"alerts","3266_MEDICAL_DEVICE_ALERT_FOR_PRODUCT_HT_Connect_Peripheral_Guidewire.pdf","2"
"alerts","7494_Drug_Alert_list_for_month_of_June_2021.pdf","7"
"alerts","7571_Medical_Devices_alert_for_Ventilator_of_Philips_August_2021.pdf","2"
"alerts","7770_Medical_Devices_Alert_on_MiniMed_620G_Insulin_PumpPump_Kits_MiniMed_640G_Insulin_PumpPump_kit_of_India_Medtronic_Ltd.pdf","6"
"alerts","7881_Medical_Devices_Alert_8_November_2021.pdf","7"
"alerts","8658_Medical_Device_Alert_date_21_June_2022.pdf","17"
"fdc","10006_Evaluation_of_16_Fixed_Dose_Combinations_FDCs_by_DTAB_Sub-Committee_which_were_earlier_considered_as_irrational_in_the_E.pdf","6"
"fdc","10045_Clarification_w.r.t._the_new_drug_status_of_FDCs_Fixed_Dose_Combinations_which_were_scrutinized_w.r.t._letter_dated_15.1.pdf","98"
"fdc","10778_To_update_package_insertPromotional_Literature_of_FDC_of_Chlorpheniramine_Maleate_IP_2mg_Phenylephrine_HCl_IP_5mg_drop_m.pdf","1"
"fdc","10847_Evaluation_of_certain_pre_1988_permitted_Fixed_Dose_Combinations_FDCs_de_novo_for_manufacture_for_sale_in_the_country_wi.pdf","5"
"fdc","10992_Manufacturing_and_marketing_of_unapproved_drug_Meropenem_Disodium_EDTA_for_Injection.pdf","1"
"fdc","11114_Manufacturing_and_marketing_of_unapproved_drug_Meropenam_1gm_EDTA_for_Injection.pdf","1"
"fdc","12543_Evaluation_of_certain_pre_1988_permitted_Fixed_Dose_Combinations_FDCs_de_novo_for_manufacture_for_sale_in_the_country_wi.pdf","4"
"fdc","12646_Manufacturing_and_marketing_of_unapproved_FDCs_regarding.pdf","4"
"fdc","13292_Corrigendum_to_the_letter_dated_11.04.2025_on_manufacturing_and_marketing_of_unapproved_FDCs.pdf","1"
"fdc","14567_Circular_Regarding_Approval_of_Safety_and_Efficacy_Marketed_in_the_Country_of_FDC_Without_Approval_from_DCGI.pdf","1"
"fdc","3197_Prohibition_of_80_fixed_Dose_combinations_by_the_Central_Government_vide_Gazette_notification_nos_S.O_180_E_to_S.O_259_E.pdf","1"
"fdc","4113_Manufacture_and_market_FDC_of_AtenololLosartanHydrochlorthaizide.pdf","4"
"fdc","4116_Procedure_to_be_followed_for_regularisation_of_FDCs_declared_as_rational_in_respect_to_294_FDCs_by_the_DTAB_which_were_l.pdf","2"
"fdc","413_Notice_regarding_consideration_of_the_directions_of_Honble_SC_India_in_the_Case_of_344_FDCs05_FDCs_probibited_Vide_S.O_N.pdf","1"
"fdc","416_Notice_regarding_consideration_of_the_directions_of_the_Honble_Supreme_Court_of_India_in_the_Case_of_344_FDCs_05_FDCs_pr.pdf","3"
"fdc","4267_Procedure_to_be_followed_for_subsequent_applicant_in_respect_of_FDCs_declared_as_rational_by_Pro._Kolate_Committee_and_a.pdf","1"
"fdc","4274_Condition_for_supply_of_Buprenorphine_2mg0.4mg_sublingual_tablet_and_FDC_of_BuprenorphineNaloxone_sublingual_tablets.pdf","2"
"fdc","4308_Procedure_to_be_followed_for_subsequent_applicants_in_respect_of_FDCs_declared_as_rational_by_Prof._Kokate_Committee_and.pdf","1"
"fdc","4309_Consideration_of_Directions_of_Honble_Supreme_Court_of_India_in_the_case_of_294_FDCs-regarding.pdf","14"
"fdc","4310_Consideration_of_Directions_of_Honble_Supreme_Court_of_India_in_the_case_of_294_FDCs_in_respect_of_FDCs_which_require_fu.pdf","1"
"fdc","444_NOTICE_regarding_Procedure_to_be_followed_for_subsequent_applicants_in_respect_of_FDCs_declared_as_rational_by_Kokate_Co.pdf","1"
"fdc","4521_Notice_regarding_Evaluation_of_Fixed_Dose_Combinations_FDCs_by_DTAB_Sub-Committee_which_were_earlier_considered_as_irrat.pdf","6"
"fdc","471_Notice_regarding_Examination_for_safety_and_efficacy_of_FDCs_Licensed_for_manufacture_for_sale_in_the_country_without_du.pdf","1"
"fdc","472_Notice_regarding_Pocedure_to_be_followed_for_subsequent_application_in_respect_of_FDCs_declared_as_rational_by_Kokate_Co.pdf","1"
"fdc","4852_Procedure_to_be_followed_for_regularisation_of_FDCs_declared_as_rational_in_respect_to_294_FDCs_by_the_DTAB_which_were_l.pdf","2"
"fdc","4859_Notice_regarding_Consideration_of_the_directions_of_Honble_Supreme_Court_of_India_in_case_of_294_FDCs.pdf","1"
"fdc","485_Notice_regarding_Procedure_to_be_followed_for_subsequent_applicant_in_respect_of_FDCs_declared_as_rational_by_Prof._Koka.pdf","2"
"fdc","486_Notice_regarding_Examination_for_safety_and_Efficacy_of_FDCs_licensed_for_manufacture_for_sale_in_country_without_due_ap.pdf","1"
"fdc","5010_Manufacturing_and_marketing_of_FDC_of_Aceclofenac_100mg_Drotaverine_Hydrochloride_80mg_tablet-regarding.pdf","1"
"fdc","512_Office_memorandum_regarding_approval_of_the_safety_and_efficacy_of_FDCs.pdf","1"
"fdc","513_Notice_Order_regarding_Examination_of_Safety_and_efficacy_of_FDCs_licensed_for_manufacture_for_sale_in_the_country_witho.pdf","1"
"fdc","523_Notice_regarding_Examination_for_safety_and_efficacy_of_FDCs_licensed_for_manufacture_for_sale_in_the_country_without_du.pdf","1"
"fdc","535_Notice_regarding_Examination_for_safety_and_Efficacy_of_FDCs.pdf","1"
"fdc","5546_Notice_Pathway_for_subsequent_manufacture_of_category_d_FDCs_as_per_Prof._Kokate_Committee_Report-extenon_in_time_limit_.pdf","1"
"fdc","557_Notice_dated_12.05.2016_regarding_FDC_Court_cases_pending_before_the_Delhi_High_Court_alongwith_notification_wise_list_o.pdf","37"
"fdc","5589_Notice_Consideration_of_the_direction_of_Honble_Supreme_Court_of_India_in_the_case_of_294_FDCs_regarding.pdf","1"
"fdc","5795_Notice_regarding_Approval_of_FDCs_Containing_new_drugs.pdf","2"
"fdc","585_Prohibition_of_Fixed_Dose_Combination_of_drugs_for_human_use_under_Section_26A_of_Drugs_Cosmetics_Act_1940.pdf","1"
"fdc","6466_Procedure_to_be_followed_for_regularisation_of_FDCs_declared_as_rational_in_respect_to_294_FDCs_by_the_DTAB_which_were_l.pdf","4"
"fdc","7457_Notice_Evaluation_of_Certain_pre_1988_permitted_FDC_de_novo_for_manufacture_of_Sale_in_the_Country_without_due_approval_.pdf","3"
"fdc","7589_Evaluation_of_Certain_Pre-1988_Permitted_Fixed_Dose_Combinations_FDCs_De_novo_for_manufacture_for_sale_in_the_country_wi.pdf","1"
"fdc","7608_Procedure_to_be_followed_for_regularisation_of_FDCs_declared_as_rational_in_respect_of_249_FDCs_by_the_DTAB_which_were_l.pdf","2"
"fdc","7609_Procedure_to_be_follow_for_regularisation_of_19_FDCs_out_of_294_FDCs_which_required_further_generation_of_data_which_wer.pdf","3"
"fdc","7614_Manufacturing_and_marketing_of_certain_FDCs_as_per_directions_of_Honble_High_Court_Maharashtra_Nagpur_Bench.pdf","2"
"fdc","7617_Manufacturing_and_marketing_of_FDC_of_Tolperisone_HCL_150mg_Paracetamol_IP_500mg_tablet.pdf","1"
"fdc","8002_Evaluation_of_certain_pre_1988_permitted_Fixed_Dose_Combinations_FDCs_de_novo_for_manufacture_for_sale_in_the_country_wi.pdf","2"
"fdc","8034_Evaluation_of_certain_pre_1988_permitted_Fixed_Dose_Combinations_FDCs_de_novo_for_manufacture_for_sale_in_the_country_wi.pdf","2"
"fdc","8327_Procedure_to_be_followed_for_regularization_of_FDCs_with_respect_to_294_FDCs_examined_by_the_DTAB_which_were_licensed_to.pdf","1"
"fdc","851_Notice_regarding_consideration_of_the_directions_of_Honble_SC_India_in_the_Case_of_344_FDCs05_FDCs_probibited_Vide_S.O_N.pdf","1"
"gazette","1194_Drugs_Prohibited_vide_Gazette_notification_Feb_10_2011_G.S.R.82E.pdf","1"
"public_notices","10006_Evaluation_of_16_Fixed_Dose_Combinations_FDCs_by_DTAB_Sub-Committee_which_were_earlier_considered_as_irrational_in_the_E.pdf","6"
"public_notices","10045_Clarification_w.r.t._the_new_drug_status_of_FDCs_Fixed_Dose_Combinations_which_were_scrutinized_w.r.t._letter_dated_15.1.pdf","98"
